Author,Handle,Post,Date,Likes
The Happy Cookie,@mikeytherapper,"Kitengela Milimani, no power since last Thursday. Your team took out the transformer without communication on what's going to happen next.",Feb-02,
The Happy Cookie,@mikeytherapper,"Kitengela Milimani, no power since last Thursday. Your team took out the transformer without communication on what's going to happen next.",Feb-02,
Carol Wairoto-M,@CarolMo3,@KenyaPower_Care Electricity has just gone in thindigua meter no 42184275 .I believe it is equipment/transformer that has blown up as there was a very loud noise. Please restore electricity,Feb-02,
Kurgatt Kipkirui,@kkipkiruii,"JN, Kindly follow up with the responsible departments at KPLC and tell them that KENYANS are suffering out here..KPLC staff on-site informed residence that fixing of transformer will be either on Friday 3rd or Saturday 4th..IMPUNITY..SAD.
@KenGenKenya @EnergyMinK @SakajaJohnson",Feb-02,
Deon kivuvoh,@macdeon40,What happened to the transformer mbiuni market machakos county ?it's 2 weeks now since you carried the transformer and promised to replace it in 2 days time. The people and businesses are hurting and the economy as well ! @StateHouseKenya  @ItsMutai,Feb-01,
The Happy Cookie,@mikeytherapper,"Kitengela Milimani, no power since last Thursday. Your team took out the transformer without communication on what's going to happen next.",Feb-02,
Carol Wairoto-M,@CarolMo3,@KenyaPower_Care Electricity has just gone in thindigua meter no 42184275 .I believe it is equipment/transformer that has blown up as there was a very loud noise. Please restore electricity,Feb-02,
Kurgatt Kipkirui,@kkipkiruii,"JN, Kindly follow up with the responsible departments at KPLC and tell them that KENYANS are suffering out here..KPLC staff on-site informed residence that fixing of transformer will be either on Friday 3rd or Saturday 4th..IMPUNITY..SAD.
@KenGenKenya @EnergyMinK @SakajaJohnson",Feb-02,
Deon kivuvoh,@macdeon40,What happened to the transformer mbiuni market machakos county ?it's 2 weeks now since you carried the transformer and promised to replace it in 2 days time. The people and businesses are hurting and the economy as well ! @StateHouseKenya  @ItsMutai,Feb-01,
Running man,@Joebebi,@KenyaPower_Care @KenyaPower transformer blown . No emergency number going through acc no 37221028733,Feb-01,
™,@binmarto,"We have not had lights in Utawala along Benedicta mofarm road since Sunday after a transformer misbehaved. We loosing business due to the blackout, security is also a threat. Most of the routes are totally dark. It's day 3, do something bana!!!!",Feb-01,
Cyprian Ongori,@CyprianOngori,"@KenyaPower_Care Benedicta, Utawala we've been in total darkness for three days now. We are told it's a transformer issue but you guys haven't fixed it for three days now! Ama must tweet for you to come to realization that power is a necessity and act fas",Feb-01,
marita ondaba,@MaritaOndaba,Kplc kisii near Gekomu omosocho transformer the lights are going on and off. We have kids with homework surely,Feb-01,
victor otieno,@ochiengvictor45,"It's not an issue with my account but the issue is with the transformer in the region, Ndhiwa sub county,kobodo division,kajwang sub-location rachier village",Feb-01,
Kurgatt Kipkirui,@kkipkiruii,"JN, Thanks for your reply. Kindly confirm that the cause and damage of a KPLC Transformer cannot have restoration timelines.#SAD.Your team has visited the site three times. Are they not able to advise @KenyaPower_Care on the solution?
@DavisChirchirs @KenGenKenya @EngineersBoard",Feb-01,
victor otieno,@ochiengvictor45,"How long should it take to replace a transformer that has  burned down,coz it is now 4 months staying in darkness",Feb-01,
Kurgatt Kipkirui,@kkipkiruii,"@KenyaPower_Care @EnergyMinK @davis_chirchir Kindly note that we have power outage in Utawala-Benedicta-Githunguri road_Mofarm lane/Road. The outage has lasted for 48 hours now. KPLC team comes to the site, accesses the transformer and vacates without any",Feb-01,2
David Mungai,@Davieem22,"@KenyaPower_Care Cables hanging dangerously from a transformer. 2 days now and no lights at Gachie,kanungu Road off Redhill road. Kindly,we need assistance before disaster strikes.",Feb-01,
Geofrey,@Geofrey82220922,@KenyaPower_Care we haven't he'd power for at least 1week now You came and took out transformer for repairs ND haven't replaced it back we need power @KenyaPower  power is life,Feb-01,
Diana Lindaᵀᴷᴹ,@dianah_lindah,"@KenyaPower_Care Shughulikieni stima Ondiek estate, kisumu. Wires are being stolen. Transformers zinakataa kazi. Businesses are not running venye inafaa. The government flat next to Good Samaritan Hotel is the most affected. Do something about it.",Feb-01,
Joe Njenga,@JoeNjenga7,"Please note the faulty transformer is still on site, no action taken since Monday. Talk to Ruai station.",Feb-01,
Ogachi Nyaronge Moturi,@OgachiNyaronge,8743619 lest you forget. The faulty transformer was removed and taken away. Patiently waiting for replacement. 6 months now and counting,Feb-01,
Muthama Ke,@MuthamaMC,"@KenyaPower_Care on Monday we reported a case of a transformer with an issue in Utawala, benedicta along the mofarm road. 3 days later, the whole area is still in a black out, nothing happened. Those of us with businesses along there are counting loses. P",Feb-01,
Geofrey,@Geofrey82220922,@KenyaPower_Care we haven't he'd power for at least 1week now You came and took out transformer for repairs ND haven't replaced it back we need power @KenyaPower  power is life,Feb-01,
Diana Lindaᵀᴷᴹ,@dianah_lindah,"@KenyaPower_Care Shughulikieni stima Ondiek estate, kisumu. Wires are being stolen. Transformers zinakataa kazi. Businesses are not running venye inafaa. The government flat next to Good Samaritan Hotel is the most affected. Do something about it.",Feb-01,
Joe Njenga,@JoeNjenga7,"Please note the faulty transformer is still on site, no action taken since Monday. Talk to Ruai station.",Feb-01,
Ogachi Nyaronge Moturi,@OgachiNyaronge,8743619 lest you forget. The faulty transformer was removed and taken away. Patiently waiting for replacement. 6 months now and counting,Feb-01,
Muthama Ke,@MuthamaMC,"@KenyaPower_Care on Monday we reported a case of a transformer with an issue in Utawala, benedicta along the mofarm road. 3 days later, the whole area is still in a black out, nothing happened. Those of us with businesses along there are counting loses. P",Feb-01,
Mamee Kelek,@mekay5890,"@KenyaPower_Care
Still no power this morning 18 #daysandcounting. We are still waiting for the replacement transformer for Kibirir, Bomet Landmark Kibirir Primary. 
@LennyBrighton1 
@AlexKWachira
@EnergyMinK
@KenyaPower
#relentlesslikethewidowinthebible",Mar-30,
kithinji kaimenyi,@kithinjika32118,There is a problem with Ngong office .we reported that oleteyan transformer was stolen since 3weeks ago but they have never bothered....cook bills as usual,Mar-30,
ritawa,@WamalwaRitah,@KenyaPower_Care There is a power line that is broken and is hanging on someone's compound since Tuesday. @KenyaPower kitale branch have not responded to the owner of the home.... Location is Sirende at  near Eunice Tanguli transformer.,Mar-30,
@timothymwangi,@timothymwangi,"@KenyaPower_Care emergency response team……there’s a problem with your transformer, it’s leaking and omitting flames …. Location Runda Thika (Containers)",Mar-30,
mundaa,@mundaa14,"What has become of KPLC Kitengela? We reported Blackout from Sunday, the emergency staff there came and took away the transformer saying it was being taken to the workshop for repair. Up to now we are in darkness. What type of service is this?",Mar-30,
Anthony Kamau,@AnthonyKamau254,"This is a very ambiguous statement devoid of facts. What was the issue with the transformer? Are you fixing or replacing it? What is the time expected to provide a solution?

Kindly take time and research on the matter before replying. You can apologise later after.",Mar-30,
Wa Muchangi,@kihapet,"@KenyaPower_Care  any update on 9337733
No Power Yet. I get something popped at the transformer",Mar-30,
Musa Abdalla,@Musabdalla,@KenyaPower_Care acc 14105790944 no power looks like a blown transformer,Mar-30,
Sadikin Mwango,@Outpok22,@KenyaPower_Care transformers is down since yesterday nothing has been done. Ac37168808642,Mar-30,
KISAKA WAMOTO.,@Omuliuli1,Your team took away the transformer serving us without informing commercial users of the same .Since 10.30am ?,Mar-30,
Robert Mukirae,@RMukirae,"Account No.35121789. Mununga village, Githiga Location, Githunguri sub-county, Kiambu County. Power outage and yet we aren't on the maintenance schedule. Possible cause is the tripping of the communal transformer. Githunguri office is aware of this transformer's issues. No rain",Mar-30,1
Mamee Kelek,@mekay5890,"Still no power 17 #daysandcounting. We are still waiting for the replacement transformer for Kibirir, Bomet Landmark Kibirir Primary.  @LennyBrighton1 We are watching and hope you are pushing for action. @AlexKWachira
@EnergyMinK
@KenyaPower 
#relentlesslikethewidowinthebible",Mar-30,
Kaisha Josphine,@kaishaca,The transformer in our estate blew up last Saturday. Your team collected it on Monday. We have been waiting for a replacement to-date. We are in darkness and no amount of calling or visiting your office is helping. Our Ref. No. 9331316. Please do something!,Mar-30,
Anthony Kamau,@AnthonyKamau254,"Your team removed the existing transformer which serves the area yesterday 10 am without any replacement. I have not seen any one re-installing a new one. 

Why remove and not replace ?. When do you intend to replace it?",Mar-30,
Abdullahi Mohammed Olow,@olow_mohammed,@KenyaPower_Care when is kplc bringing/replacing the transformer for mtrakwa?am told to get back our lights onn again someone hands must be greased !!,Mar-30,
Abdullahi Mohammed Olow,@olow_mohammed,@KenyaPower_Care The 12 street neighborhood especially mtarakwa is without power from Thursday upto this minute after kplc took their  transformer for repair. Kplc is punishing us for being their clients. We have been to electricity house for the last two,Mar-30,
joseph gichunge,@josephgichunge,"We have not had power since Friday 24th at Runda Mumwe transformer was picked for servicing and no response yet. Below is the last communication.

Hi. Any inconvenience caused is regretted. We've booked the power outage under Ref No 9315065. There's a fault sustained in your area",Mar-30,1
LYNA,@LYNA627045431,"Bomet airstrip area, a month without power! When are you going to replace the transformer?",Mar-30,
Pat Yosef Chike,@pololchike,"This is Enooseyia village in Narok county, despite frequent reports to your office in Narok that the transformer had some funny sounds, no action was taken which led it to blowing up, now our schools are in total darkness and our children can't get immunization",Mar-30,1
Karian_moh,@Karian_moh,"The whole Nyama villa area,around overcomers church (St.Bakhitta) school have been in darkness since yesterday due to a transformer issue, please sort this out by today...our businesses are at steak",Mar-30,1
CLIFFORD,@to_Clive,"We keep reporting but no action is taken, what if some Kenya power workers are involved in vandalizing some of the transformers ?!",Mar-30,
Kate Waithera,@KateWaithe13720,Is it a must for you to know who stole the transformer oil before repairing because surely tutaendelea kukaa kwa giza till wezi wajitokeze na hata wako kwingine,Mar-30,
